experiment_id,question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
baseline_or50_w1_1_1,Q001,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
baseline_or50_w1_1_1,Q002,lingua,es,0.8550184920884287,0.7602593552419917,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q003,lingua,es,0.9962868884420093,0.9939152201403337,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q004,lingua,es,0.5023770770002832,0.2465973259997601,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q005,lingua,es,0.9970273769242127,0.9943384771704534,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q006,lingua,pt,0.3737812755653445,0.12625475721467502,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,1,50,True
baseline_or50_w1_1_1,Q007,lingua,es,0.9648094107202967,0.9338514278116505,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,50,True
baseline_or50_w1_1_1,Q008,lingua,es,0.9569335370712582,0.9228613400012184,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q009,lingua,es,0.9252594169719263,0.8567012974606459,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q010,lingua,es,0.6861462506023863,0.46535206335385393,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q011,lingua,es,0.7590376241184109,0.6008228191505327,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q013,lingua,es,0.9804052315346491,0.9621301529255358,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q014,lingua,es,0.3461656514095608,0.03684823522240466,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,40,True
baseline_or50_w1_1_1,Q015,lingua,es,0.9674789831032703,0.9376902173485979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q016,lingua,es,0.8887599309692942,0.7831963460061211,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q017,lingua,es,0.7019475450546815,0.5325012781585758,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q018,lingua,es,0.5395854329957139,0.3574998067298283,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q019,lingua,es,0.9382320364740492,0.8820151029804177,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q020,lingua,es,0.7110547867915833,0.43773931440216196,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,50,True
baseline_or50_w1_1_1,Q021,lingua,es,0.7323824878095176,0.48161382626869315,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q022,lingua,es,0.8314970790835761,0.6791705497586047,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q023,lingua,es,0.8732142855230649,0.7832387730924959,spanish,True,False,Using PostgreSQL 'spanish' configuration.,6,50,True
baseline_or50_w1_1_1,Q024,lingua,es,0.4038276070946192,0.14908831184891413,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,0,True
baseline_or50_w1_1_1,Q025,lingua,es,0.9964116651676809,0.9935958924849967,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,50,True
baseline_or50_w1_1_1,Q026,lingua,es,0.9655444147609339,0.9458660374065858,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q027,lingua,es,0.9872274913865954,0.9772212623655278,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,50,True
baseline_or50_w1_1_1,Q029,lingua,es,0.38180914481516515,0.11546240598716034,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,0,True
baseline_or50_w1_1_1,Q030,lingua,fr,0.3657331525640725,0.09701302465433803,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
baseline_or50_w1_1_1,Q031,lingua,ca,0.3957424041782847,0.09493576754108135,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
