experiment_id,question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
or30_ablation_w1_1_0,Q001,lingua,ca,0.46487836440664804,0.18713738947308511,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
or30_ablation_w1_1_0,Q002,lingua,es,0.8550184920884293,0.760259355241993,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q003,lingua,es,0.9962868884420093,0.9939152201403337,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q004,lingua,es,0.5023770770002836,0.2465973259997607,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q005,lingua,es,0.9970273769242126,0.9943384771704533,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q006,lingua,pt,0.3737812755653446,0.12625475721467505,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,1,30,True
or30_ablation_w1_1_0,Q007,lingua,es,0.9648094107202965,0.9338514278116503,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
or30_ablation_w1_1_0,Q008,lingua,es,0.9569335370712582,0.9228613400012182,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q009,lingua,es,0.9252594169719258,0.856701297460645,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q010,lingua,es,0.6861462506023868,0.4653520633538546,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q011,lingua,es,0.7590376241184109,0.6008228191505327,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q013,lingua,es,0.9804052315346492,0.9621301529255359,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q014,lingua,es,0.3461656514095615,0.03684823522240582,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q015,lingua,es,0.9674789831032703,0.9376902173485979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q016,lingua,es,0.8887599309692942,0.7831963460061211,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q017,lingua,es,0.7019475450546803,0.5325012781585737,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q018,lingua,es,0.5395854329957133,0.3574998067298272,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q019,lingua,es,0.938232036474049,0.8820151029804175,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q020,lingua,es,0.7110547867915841,0.43773931440216335,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
or30_ablation_w1_1_0,Q021,lingua,es,0.7323824878095179,0.48161382626869376,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q022,lingua,es,0.8314970790835756,0.6791705497586038,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q023,lingua,es,0.873214285523065,0.7832387730924961,spanish,True,False,Using PostgreSQL 'spanish' configuration.,6,30,True
or30_ablation_w1_1_0,Q024,lingua,es,0.40382760709461907,0.14908831184891408,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,0,True
or30_ablation_w1_1_0,Q025,lingua,es,0.996411665167681,0.9935958924849968,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,30,True
or30_ablation_w1_1_0,Q026,lingua,es,0.9655444147609338,0.9458660374065857,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q027,lingua,es,0.9872274913865954,0.9772212623655278,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_ablation_w1_1_0,Q029,lingua,es,0.3818091448151652,0.11546240598716034,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,0,True
or30_ablation_w1_1_0,Q030,lingua,fr,0.3657331525640725,0.09701302465433803,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
or30_ablation_w1_1_0,Q031,lingua,ca,0.39574240417828505,0.09493576754108202,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
