question_id,question,strategy,rank,original_rank,doc_id,chunk_id,page_num,chunk_lang,raw_distance,raw_score,semantic_rank,lexical_rank,semantic_distance,lexical_score,ts_config,rrf_k,candidate_depth,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_query_mode,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
Q001,¿Qué es la astenia?,semantic,1,1,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,es,0.5069648623466492,,1.0,,0.5069648623466492,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,2,2,prostata_es_gepac_guia-cancer-de-prostata_2020,p014_c00,14,es,0.5278962709872801,,2.0,,0.5278962709872801,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,3,3,general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,4,es,0.6092796921730042,,3.0,,0.6092796921730042,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,4,4,mama_es_hureinasofia_protocolo-cancer-mama_2021,p034_c00,34,es,0.6136918067932129,,4.0,,0.6136918067932129,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,5,5,prostata_es_gepac_guia-cancer-de-prostata_2020,p177_c00,177,es,0.6268676817417145,,5.0,,0.6268676817417145,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,6,6,prostata_es_gepac_guia-cancer-de-prostata_2020,p192_c00,192,es,0.6298617201961105,,6.0,,0.6298617201961105,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,7,7,mama_es_novartis_guia-pacientes-CM_2025,p080_c00,80,es,0.6385203301906586,,7.0,,0.6385203301906586,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,8,8,prostata_es_gepac_guia-cancer-de-prostata_2020,p175_c00,175,es,0.6412604833400531,,8.0,,0.6412604833400531,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,9,9,prostata_es_esmo_guia-para-pacientes_2022,p007_c00,7,es,0.6422080993652344,,9.0,,0.6422080993652344,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,10,10,mama_es_esmo_guia-para-pacientes_v1,p071_c01,71,es,0.6440264880657196,,10.0,,0.6440264880657196,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,11,11,prostata_es_gepac_guia-cancer-de-prostata_2020,p077_c00,77,es,0.6510310353077667,,11.0,,0.6510310353077667,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,12,12,mama_es_novartis_guia-pacientes-CM_2025,p063_c00,63,es,0.6591837900633748,,12.0,,0.6591837900633748,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,13,13,prostata_es_gepac_guia-cancer-de-prostata_2020,p044_c00,44,es,0.6629183292388916,,13.0,,0.6629183292388916,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,14,14,prostata_es_gepac_guia-cancer-de-prostata_2020,p187_c00,187,es,0.6634585857391357,,14.0,,0.6634585857391357,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
Q001,¿Qué es la astenia?,semantic,15,15,prostata_es_esmo_guia-para-pacientes_2022,p061_c00,61,es,0.6693301200866699,,15.0,,0.6693301200866699,,,,100,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,,,,
