gold_view,question_id,strategy,k,evaluable_evidence,num_gold_evidence,num_gold_claims,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,ap_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k,retrieved_relevant_evidence,retrieved_claims
human_only,Q002,hybrid,1,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,hybrid,3,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,hybrid,5,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,hybrid,10,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,language_aware_hybrid,1,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,language_aware_hybrid,3,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,language_aware_hybrid,5,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,language_aware_hybrid,10,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,semantic,1,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,semantic,3,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,semantic,5,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q002,semantic,10,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,language_aware_hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,language_aware_hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,language_aware_hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,language_aware_hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,semantic,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,semantic,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,semantic,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q005,semantic,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q006,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,semantic,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q006,semantic,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,semantic,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q006,semantic,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,hybrid,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,hybrid,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,hybrid,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,hybrid,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,language_aware_hybrid,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,language_aware_hybrid,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,language_aware_hybrid,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,language_aware_hybrid,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,semantic,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,semantic,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,semantic,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q008,semantic,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
human_only,Q012,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q012,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,language_aware_hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q012,language_aware_hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,language_aware_hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,language_aware_hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,semantic,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q012,semantic,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,semantic,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q012,semantic,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q013,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,language_aware_hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,language_aware_hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,language_aware_hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,language_aware_hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,semantic,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,semantic,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,semantic,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q013,semantic,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,hybrid,1,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,hybrid,3,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,hybrid,5,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,hybrid,10,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,language_aware_hybrid,1,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,language_aware_hybrid,3,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,language_aware_hybrid,5,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,language_aware_hybrid,10,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,semantic,1,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,semantic,3,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,semantic,5,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q014,semantic,10,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,hybrid,1,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,hybrid,3,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,hybrid,5,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,hybrid,10,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,language_aware_hybrid,1,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,language_aware_hybrid,3,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,language_aware_hybrid,5,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,language_aware_hybrid,10,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,semantic,1,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,semantic,3,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,semantic,5,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q015,semantic,10,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q016,hybrid,1,True,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q016,hybrid,3,True,2,3,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,hybrid,5,True,2,3,1.0,0.2,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,hybrid,10,True,2,3,1.0,0.1,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,language_aware_hybrid,1,True,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q016,language_aware_hybrid,3,True,2,3,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,language_aware_hybrid,5,True,2,3,1.0,0.2,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,language_aware_hybrid,10,True,2,3,1.0,0.1,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,semantic,1,True,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q016,semantic,3,True,2,3,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,semantic,5,True,2,3,1.0,0.2,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q016,semantic,10,True,2,3,1.0,0.1,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C05
human_only,Q018,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q018,semantic,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,semantic,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,semantic,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q018,semantic,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,hybrid,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,hybrid,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,hybrid,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,hybrid,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,language_aware_hybrid,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,language_aware_hybrid,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,language_aware_hybrid,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,language_aware_hybrid,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,semantic,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,semantic,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,semantic,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q019,semantic,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q020,hybrid,1,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,hybrid,3,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,hybrid,5,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,hybrid,10,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q020,language_aware_hybrid,1,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,language_aware_hybrid,3,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,language_aware_hybrid,5,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q020,language_aware_hybrid,10,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q020,semantic,1,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,semantic,3,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,semantic,5,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q020,semantic,10,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q021,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q021,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q021,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q021,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
human_only,Q021,language_aware_hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
human_only,Q021,language_aware_hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
