doc_id,chunk_id,page_num,topic,source,lang,content,created_at
general_es_gepac_guia-toxicidad-quimioterapia_v1,p003_c00,3,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Recomendaciones básicas
para pacientes en relación a la
toxicidad por quimioterapia
Miriam Huelves, Médico adjunto de Oncología1
Teresa Motilla, Supervisora de la Planta de hospitalización1
Estibaliz Salsamendi, Supervisora Hospital de Día1
Ana Blasco, Médico adjunto de Oncología2
Eduardo Jara, Enfermero de Oncología1
Mariano Provencio, Jefe de Servicio1
Servicio de Oncología Médica
Hospital Universitario Puerta de Hierro-Majadahonda-Madrid1
y Hospital General Universitario Valencia2",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,4,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Editor:
Grupo Español de Pacientes con Cáncer (GEPAC).
El Grupo Español de Pacientes con Cáncer (GEPAC) es una organización independiente, sin ánimo de lucro y cuenta con inscripción defi nitiva desde el 1 de septiembre de 2010 en el registro
nacional de asociaciones con número 595854. La asociación está compuesta por diferentes organizaciones de pacientes oncológicos que se han unido para compartir recursos y experiencias
y para tener una sola voz ante los diferentes agentes sociales y los sistemas de salud.
Contacto:
Grupo Español de Pacientes con Cáncer (GEPAC)
C/ Santa Hortensia, 15 - Ofi cina K - 28002 Madrid
Teléfono: 91 563 18 01 Fax: 91 141 01 14
Página Web: www.gepac.es Correo Electrónico: info@gepac.es
Con la colaboración de:
Este folleto gratuito puede solicitarse a través de las organizaciones mencionadas en la página 54.
Exoneración de responsabilidad:
La exactitud de la información médica contenida en este folleto ha sido revisada por reconocidos profesionales. El folleto no pretende ser exhaustivo y no persigue el objetivo de sustituir las
recomendaciones o los tratamientos prescritos por especialistas sanitarios. Para el uso de la sustancia es determinante exclusivamente la dosifi cación descrita en la información actual con las
indicaciones autorizadas. Instamos a todos los lectores y lectoras a seguir las recomendaciones
médicas y psicológicas de los profesionales correspondientes.
Respuestas que importan.",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p005_c00,5,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"INTRODUCCIÓN
La quimioterapia forma parte del tratamiento de la mayoría de las enfermedades
oncológicas en algún momento de su evolución.
Los fármacos quimioterápicos pueden administrarse con distintos objetivos: eliminar la enfermedad micrometastásica para evitar recidivas futuras (tratamiento adyuvante), disminuir el tamaño del tumor previo a la cirugía (tratamiento
neoadyuvante), control de los síntomas con la intención de mejorar la calidad de
vida y la supervivencia en algunos casos (tratamiento quimioterápico paliativo)
o con intención curativa.
Desafortunadamente, los fármacos utilizados pueden producir efectos secundarios, algunos de los cuales pueden ser graves y otros a pesar de no constituir
un riesgo importante, pueden impactar negativamente en la calidad de vida de
nuestros pacientes.
Este texto va dirigido a todas las personas implicadas en el tratamiento de esta
enfermedad (Oncólogos médicos, Oncólogos radioterapeutas, Enfermeras de
hospitales de día, Enfermeras de las plantas de hospitalización de oncología,
Médicos de atención primaria, etc...) y especialmente a nuestros pacientes, para
que conozcan los síntomas que pueden aparecer durante el tratamiento de su
enfermedad, consejos para paliar dichos síntomas y comprendan cuándo deben
consultar a su médico para que éste paute el tratamiento y/o las medidas adecuadas para el control adecuado de éstas toxicidades.",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p007_c00,7,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Índice
 1. ASTENIA ................................................................................................. 7

 Tratamiento de la astenia ......................................................................... 7

 Consejos sobre hábitos de vida en la astenia ........................................... 7
 2. NÁUSEAS Y VÓMITOS ............................................................................ 8

 Tratamiento de las náuseas y vómitos .................................................... 10

 Consejos para los pacientes ................................................................... 11
 3. MUCOSITIS .......................................................................................... 12

 Tratamiento de la mucositis ................................................................... 12

 Consejos para los pacientes ................................................................... 13
 4. DIARREA ............................................................................................... 14

 Tratamiento de la diarrea ....................................................................... 14

 Consejos para los pacientes ................................................................... 15
 5. ESTREÑIMIENTO .................................................................................. 15

 Tratamiento del estreñimiento ............................................................... 15

 Consejos para los pacientes ................................................................... 16
 6. ESOFAGITITIS .........................................",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p007_c01,7,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"..................................... 15

 Consejos para los pacientes ................................................................... 16
 6. ESOFAGITITIS ....................................................................................... 16
 7. FIEBRE ................................................................................................... 16
 8. REACCIONES ALÉRGICAS .................................................................... 17

 Tratamiento de las reacciones alérgicas ................................................. 17
 9. TOXICIDAD CUTÁNEA LOCAL ............................................................ 18

 Consejos para los pacientes ................................................................... 19
 10. TOXICIDAD UNGUEAL ........................................................................ 20
 11. ALOPECIA ............................................................................................. 20

 Consejos para los pacientes ................................................................... 20
 12. FOTOSENSIBILIZACIÓN ...................................................................... 21

 Consejos para los pacientes ................................................................... 21
 13. TOXICIDAD RENAL Y DE LAS VÍAS URINARIAS .................................. 21
 14. TOXICIDAD NEUROLÓGICA ............................................................... 23

 Tratamiento farmacológico .................................................................... 25

 Consejos para los pacientes .................................",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p007_c02,7,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"................................. 23

 Tratamiento farmacológico .................................................................... 25

 Consejos para los pacientes ................................................................... 25",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p008_c00,8,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Toxicidad por quimioterapia
 15. TOXICIDAD CARDÍACA ....................................................................... 26

 Miocardiopatías quimioinducidas .......................................................... 26

 Tratamiento de las miocardiopatías ....................................................... 27

 Arrítmias cardíacas y procesos isquémicos ............................................ 27
 16. ENFERMEDAD TROMBOEMBÓLICA VENOSA ..................................... 28
 17. TOXICIDAD PULMONAR ..................................................................... 29
 18. DISFUNCIONES SEXUALES .................................................................. 29

 Consejos para los pacientes ................................................................... 30
 19. DISFUNCIÓN GONADAL .................................................................... 31

 Infertilidad en varones ........................................................................... 31

 Infertilidad en mujeres ........................................................................... 33

 Recomendaciones sobre infertilidad ...................................................... 36
 20. ALTERACIONES DE LOS SENTIDOS ..................................................... 37
 21. TOXICIDAD HEMATOLÓGICA ............................................................. 37

 Tratamiento de la anemia ...................................................................... 39

 Tratamiento de la neutropenia ............................................................... 40

 Tratamiento de la trombopeni",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p008_c01,8,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"................................................................... 39

 Tratamiento de la neutropenia ............................................................... 40

 Tratamiento de la trombopenia .............................................................. 42
 22. TRASTORNOS COGNITIVOS ............................................................... 43

 Tratamiento de los trastornos cognitivos ................................................ 44

 Consejos para los pacientes ................................................................... 45
 23. TRASTORNOS DEL SUEÑO .................................................................. 45

 Tratamiento de las alteraciones del sueño .............................................. 46

 Consejos para pacientes ........................................................................ 46

 Tratamiento farmacológico .................................................................... 46
 24. TOXICIDAD TARDÍA ............................................................................ 47
 25. SEGUNDAS NEOPLASIAS QUIMIOINDUCIDAS ................................. 48
 26. DOLOR ONCOLÓGICO ...................................................................... 49

 Tratamiento del dolor oncológico .......................................................... 51

 Consejos para pacientes ........................................................................ 52

 Sobre GEPAC ........................................................................................ 52

 Sobre AEAL ........................................................",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p008_c02,8,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"..................... 52

 Sobre GEPAC ........................................................................................ 52

 Sobre AEAL ........................................................................................... 54

 Colabora con AEAL ............................................................................... 55",2026-02-18 23:58:26.299704+01
general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"1. ASTENIA
Astenia es el término médico para denominar al cansancio (falta de energía) ya
sea físico o emocional. Al tratarse de un efecto secundario subjetivo, es muy
importante que el paciente informe de su presencia. El paciente puede experimentar incapacidad para realizar su actividad física habitual, difi cultad para
concentrarse, cansancio que no disminuye pese al descanso…
Tratamiento de la astenia
La utilización de fármacos para tratar la astenia es controvertido. Entre los fármacos que han demostrado utilidad son:
• Corticoides: Producen una mejoría rápida de la astenia. Pueden producir
además sensación de euforia y aumento de apetito. Sin embargo, no se recomienda su utilización de forma prolongada por los posibles efectos secundarios a largo plazo como son osteoporosis, atrofi a muscular, síndrome de
Cushing, diabetes corticoidea, infecciones…
• Progestágenos: Acetato de megestrol.
Mejora el apetito, disminuyendo la sensación de astenia y aumentado el
peso. El efecto de este fármaco tarda varios días en aparecer. Tiene un riesgo
aumentado de aparición de fenómenos tromboembólicos.
• Psicoestimulantes: Proporcionan sensación de bienestar. Son útiles para contrarrestar los efectos secundarios de los opiáceos. De escasa utilidad en la
práctica clínica por sus efectos secundarios: alteraciones emocionales, insomnio, alucinaciones.
• Tratamientos complementarios:
Existen estudios que han sugerido cierto benefi cio de los tratamientos con
Ginseng.
Consejos sobre hábitos de vida para disminuir la astenia
1. Hacer una lista de las actividades que desea realizar, establec",2026-02-18 23:58:26.299704+01
